Habitat,ISO3,Citation
seagrasses,SVN,"Telesca, L., Belluscio, A., Criscoli, A., Ardizzone, G., Apostolaki, E.T., Fraschetti, S., Gristina, M., Knittweis, L., Martin, C.S. et al. 2015. Seagrass meadows (Posidonia oceanica) distribution and trajectories of change. Scientific reports, 5."
seagrasses,SVN,"Zavodnik N, Jaklin A. 1990. Long-term changes in the Northern Adriatic marine phanerogam beds. Rapp Comm Ir Mediterr 32(1): 15."
seagrasses,SWE,"Baden, S. P., & Pihl, L. (1984). Abundance, biomass and production of mobile epibenthic fauna in Zostera marina (L.) meadows, western Sweden. Ophelia, 23(1), 65-90."
seagrasses,SWE,"Boström, C., Baden, S., & Krause-Jensen, D. (2003). Scandanavia and the Baltic Sea Region. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
cold-water corals,SWE,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
seagrasses,SWE,"Esping, L-E., & Gronqvist, G. (1995). Marine Region 6: Baltic. In: Kelleher, G. Bleakley, C. Wells, S. (Eds). A Global Representative System of Marine Protected Areas.Vol. 1: Antarctic, Arctic, Mediterranean, Northwest Atlantic, Northeast Atlantic and Baltic"
seagrasses,SWE,"Gullstrom, M. (2000). Kungalv [map]. Unpublished."
seagrasses,SWE,"Gullstrom, M. (2000). Stenungsund [map]. Unpublished."
seagrasses,SWE,"Gullström, M. (2000). Stromstad. Unpublished"
seagrasses,SWE,"Gullstrom, M. (2000). Uddevalla [map]. Unpublished."
seagrasses,SWE,HELCOM 1993: Description and maps of coastal and marine areas proposed for the system of the Baltic Sea protected areas (BSPA). Baltic Marine Environment Protection Commission. Helsinki Commission. Environment Committee (EC) 
seagrasses,SWE,"Horsted, J. (1992). Kompletterande undersökning av bottenvegetationen fran Lommabukten till Falsterbo: f„ltunders”kningar augusti-september 1992: teknisk bakgrundsrapport nr 07: unders”kning och konsekvenser f”r havsmilj”n av en fast f”rbin"
cold-water corals,SWE,"Jägerskiöld, L. A. (1971). A Survey of the Marine Benthonic Macro-fauna Along the Swedish West Coast, 1921-1938. Vetenskaps-och vitterhets-samhället [Distributed by Almquist & Wiksell, Stockholm]."
cold-water corals,SWE,"Jonsson, L. G., Nilsson, P. G., Floruta, F., & Lundälv, T. (2004). Distributional patterns of macro-and megafauna associated with a reef of the cold-water coral Lophelia pertusa on the Swedish west coast. Marine Ecology Progress Series, 284, 163-171."
seagrasses,SWE,OSPAR Commission. (2015) OSPAR Threatened and/or Declining Habitats 2015. URL: http://www.ospar.org/work-areas/bdc/species-habitats/list-of-threatened-declining-species-habitats. Data URL: http://www.emodnet-seabedhabitats.eu/download.
cold-water corals,SWE,OSPAR Commission. (2016). OSPAR Threatened and/or Declining Habitats 2015. URL: http://www.emodnet-seabedhabitats.eu/default.aspx?page=1953
seagrasses,SWE,"Phillips, R. C., & Mehez, E. G. (1988). Seagrasses. Smithsonian Contributions to the Marine Science, 34, 1–110."
saltmarshes,SWE,Ramsar Secretariat. Ramsar Sites Information Service. URL: https://rsis.ramsar.org/
seagrasses,SWE,"Roos, C. (2000). A seasonal study of the production fo eelgrass (Zostera marina L.) at two sites in the northern Baltic Sea (Doctoral dissertation, MSc-thesis, Åbo Akademi University, 56 pp (in Swedish with English abstract)."
saltmarshes,SWE,The Nature Conservancy (2000). Saltmarshes of Canada.
cold-water corals,SWE,"Tomas Lundälv, Göteborg university"
cold-water corals,SWE,"Wisshak, M., Freiwald, A., Lundälv, T., & Gektidis, M. (2005). The physical niche of the bathyal Lophelia pertusa in a non-bathyal setting: environmental controls and palaeoecological implications. In Cold-Water Corals and Ecosystems (pp. 979-1001). Springer, Berlin, Heidelberg."
mangroves,SXM,Eastern Caribbean Natural Area Management Program (ECNAMP). (1980). Aruba. Preliminary Data Atlas. Survey of Conservation Priorities in the Lesser Antilles.
coralreefs,SXM,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,SXM,"Phillips, R.C. (2001). Seagrasses - national status report, Caribbean Region. Draft paper submitted to the UNEP-WCMC Global Seagrass Workshop, St Pete's Beach, Florida, 5-9 November, 2010"
seagrasses,SYC,"Bandeira S.O. & Gell, F. (2003). Seagrasses of Mozambique and South-Eastern Africa. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
cold-water corals,SYC,"Cairns, S. D. (1994). Scleractinia of the temperate North Pacific. Smithsonian Contributions to Zoology."
cold-water corals,SYC,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
mangroves,SYC,"Directorate of Overseas Surveys (DOS) (1978).  Seychelles 1:25,000. Aldabra Island, east, west sheet / Directorate of Overseas Surveys  1964"
seagrasses,SYC,"Gaudian, G., Koyo, A. & Wells, S. (1995). Marine Region 12: East Africa. In: Kelleher, G., Bleakley, C., Wells, S. (Eds).  A Global  Representative System of Marine Protected Areas. Vol. 3: Cantral Indian Ocean, Arabian Seas, East Africa and East African Se"
coralreefs,SYC,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (1990). Southern Approaches to the Seychelles group. British Admiralty Chart No. 718.
coralreefs,SYC,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (1994). Islands North of Madagascar. British Admiralty Chart No. 718.
coralreefs,SYC,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
coralreefs,SYC,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,SYC,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
seagrasses,SYC,"Taylor, J. D., and Lewis, M. S. (1970). The flora, fauna and sediments of the marine grass beds of Mahe, Seychelles. J.Nat. Hist. 4:199-220. DOI: 10.1080/00222937000770201"
seagrasses,SYC,UNEP & IUCN. (1984). Marine and coastal conservation in the East African region. UNEP Regional Seas Reports and Studies. Geneva; Nairobi.  https://portals.iucn.org/library/node/6545
seagrasses,SYC,UNESCO World Heritage Centre. (n.d.). Aldabra Atoll. http://whc.unesco.org/en/list/185
cold-water corals,SYC,"Zibrowius, H. (1980). Les scleractiniaires de la Mediterranee et de l'Atlantique nord-oriental. Memoires de l'Institut oceanographique, Monaco. URL: https://www.worldcat.org/title/scleractiniaires-de-la-mediterranee-et-de-latlantique-nord-oriental/oclc/715051958"
seagrasses,SYR,"Belluscio, A., Panayiotidis, P., Gristina, M., Knittweis, L., Pace, M.L., Telesca, L., Criscoli, A., Apostolaki, E.T., Gerakaris, V., Fraschetti, S. & Spedicato, M.T. (2013). Task 1.1. Seagrass beds distribution along the Mediterranean coasts. In: Mediterranean Sensitive Habitats (MEDISEH), final project report (Eds. Giannoulaki et al.). DG - MARE SI2.600741. Hellenic Centre for Marine Research."
seagrasses,SYR,"Lipkin, Y., Beer, S. & Zakai, D. (2003). The Seagrasses of the Eastern Mediterranean and the Red Sea. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,SYR,"Maximova, O. V., & Kucheruk, N. V. (1999). Anthropogenic eutrophication of near-shore waters and macroalgal biodiversity in the Levantine Sea. In The Eastern Mediterranean as a Laboratory Basin for the Assessment of Contrasting Ecosystems (pp. 431-435). Springer, Dordrecht."
seagrasses,SYR,"Phillips, R. C., & Mehez, E. G. (1988). Seagrasses. Smithsonian Contributions to the Marine Science, 34, 1–110."
cold-water corals,TAA,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
cold-water corals,TAA,"Zibrowius, H. (1980). Les scleractiniaires de la Mediterranee et de l'Atlantique nord-oriental. Memoires de l'Institut oceanographique, Monaco. URL: https://www.worldcat.org/title/scleractiniaires-de-la-mediterranee-et-de-latlantique-nord-oriental/oclc/715051958"
mangroves,TCA,"DOS (Directorate of Oversea Sureveys) (1971). Turks & Caicos Islands 1:200,000. Tolworth, Surrey."
coralreefs,TCA,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,TCA,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
seagrasses,TCA,"Mumby, P.J., Green, E.P. 2000. Mapping Seagrass Beds. In: Green, E.P., Mumby, P.J., Edwards, A.J.,  Clark, C.D. (Eds) Remote Sensing Handbook for Tropical Coastal Management. pp. 155-174."
cold-water corals,TCA,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
mangroves,TGO,"NASA Landsat Program, 2003, Landsat TM 5 & Landsat 7 ETM+, SLC-Off, USGS, Sioux Falls, 10/26/2003."
seagrasses,TGO,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
mangroves,THA,"FAO (2007) Mangroves of Asia 1980-2005; Country reports, Forest Resources Assment Working Paper No 136, Rome, FAO"
coralreefs,THA,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,THA,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
seagrasses,THA,"Kuo, J. (1996). Seagrass biology: Proceedings of an international workshop, Rottnest Island, Western Australia, 25-29 January 1996. Faculty of Sciences, University of Western Australia."
mangroves,THA,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
seagrasses,THA,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
seagrasses,THA,"Supanwanid, C. & Lewmanomont, K. (2003). The Seagrasses of Thailand. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,THA,"Supanwanid, C. 2001. Status report on seagrasses in Thailand. Draft paper submitted to the UNEP-WCMC Global Seagrass Workshop, St Pete's Beach, Florida, 5-9 November, 2001"
cold-water corals,THA,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
coralreefs,TKL,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
cold-water corals,TLS,"Ijima (1926). The Hexactinellida of the Siboga expedition. Siboga-Expeditie: uitkomsten op zoölogisch, botanisch, oceanographisch en geologisch gebied verzameld in Nederlandsch Oost-Indië 1899-1900 aan boord H.M. Siboga onder commando van Luitenant ter Z"
coralreefs,TLS,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
cold-water corals,TLS,"Nutting, C. (1910) The Gorgonacea of the Siboga expedition: 3. The Muriceidae."
cold-water corals,TLS,"Nutting, C. (1911) The Gorgonacea of the Siboga expedition: 8. The Scleraxonia."
cold-water corals,TLS,"Thomson, J. A., & Dean, L. M. I. (1931). Alcyonacea of the SIBOGA Expedition, with an addendum of Gorgonacea: 1 - 227."
coralreefs,TLS,"UNEP-WCMC (2009).  Coral reef polygons digitized by UNEP-WCMC  on-screen from ArcGISOnline World_Imagery (MapServer) at an approximate scale of 1: 10,000. Source: ESRI, i-cubed, USDA FSA, USGS, AEX, GeoEye, Getmapping."
cold-water corals,TLS,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,TON,"Cairns, S. D. (1994). Scleractinia of the temperate North Pacific. Smithsonian Contributions to Zoology."
seagrasses,TON,"Coles, R.G. & Lee Long, W.J. (1999). Seagrasses. In: Marine/Coastal Biodiversity in the Tropical Island Pacific Region. Volume 2: population, development and conservation priorities. Workshop proceedings: 21-46."
cold-water corals,TON,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
mangroves,TON,"DOS (Directorate of Oversea Sureveys) (1971) Tongatapu Island, Kingdom of Tonga Series X773 (DOS 6005) Sheet Tongatapu, 1st edition, Directorate of Oversea Surveys, UK and Ministry of Lands and Survey, Tonga"
seagrasses,TON,"Hirth, H. F., Klikoff, L. G., & Harper, K. T. (1973). Sea grasses at Khoir Umaira, People's Democratic Republic of Yemen with reference to their role in the diet of the green turtle, Chelonia mydas. Fishery Bulletin, 71(4), 1093-1097."
coralreefs,TON,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,TON,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
seagrasses,TON,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
seagrasses,TTO,CARICOMP. (1996). Variation in ecological parameters of Thalassia testudinum across the CARICOMP network. 663-668.
coralreefs,TTO,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
coralreefs,TTO,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,TTO,"Institute of Marine Affairs, Trinidad and Tobago. 1999. [Personal communication]."
seagrasses,TTO,"Laydoo, R.S., Bonair, K. & Alleng, G. (1998). Buccoo Reef and Bon Accord Lagoon, Tobago, Republic of Trinidad and Tobago. In: Kjerfve, B. (Ed.)  CARICOMP - Caribbean Coral Reef, Seagrass and  Mangrove Sites: 171-176."
mangroves,TTO,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
seagrasses,TTO,"Phillips, R. C. (1992). The seagrass ecosystem and resources in Latin America. In Coastal plant communities of Latin America (pp. 107-121). Academic Press."
seagrasses,TTO,"Phillips, R.C. (2001). Seagrasses - national status report, Caribbean Region. Draft paper submitted to the UNEP-WCMC Global Seagrass Workshop, St Pete's Beach, Florida, 5-9 November, 2011"
cold-water corals,TTO,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
seagrasses,TUN,"Batisse, M. & de Grissac, A.J. (1995). Marine region 3: Mediterranean. Kelleher, G. Bleakley, C. Wells, S. (Eds).  A Global Representative System of Marine Protected Areas. Vol. 1. Antarctic, Arctic, Mediterranean, Northwest Atlantic, Northeast Atlantic and"
seagrasses,TUN,"Belluscio, A., Panayiotidis, P., Gristina, M., Knittweis, L., Pace, M.L., Telesca, L., Criscoli, A., Apostolaki, E.T., Gerakaris, V., Fraschetti, S. & Spedicato, M.T. (2013). Task 1.1. Seagrass beds distribution along the Mediterranean coasts. In: Mediterranean Sensitive Habitats (MEDISEH), final project report (Eds. Giannoulaki et al.). DG - MARE SI2.600741. Hellenic Centre for Marine Research."
cold-water corals,TUN,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
seagrasses,TUN,"Hughes, R.H. & Hughes, J.S. (1992). A Directory of African Wetlands. Gland, Switzerland: IUCN."
seagrasses,TUN,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
seagrasses,TUN,"Pergent, G. (1990). Lepidochronological analysis of the seagrass Posidonia oceanica (L.) Delile: a standardized approach. Aquatic botany, 37(1), 39-54."
cold-water corals,TUN,"Rossi, L. (1961). Etudes sur le Seuil Siculo-Tunisien. 6. Madréporaires. Campagne de la “Calypso”(août-septembre 1954). Ann Inst Oceanogr Paris, 39, 33-48."
seagrasses,TUN,"Telesca, L., Belluscio, A., Criscoli, A., Ardizzone, G., Apostolaki, E.T., Fraschetti, S., Gristina, M., Knittweis, L., Martin, C.S. et al. 2015. Seagrass meadows (Posidonia oceanica) distribution and trajectories of change. Scientific reports, 5."
cold-water corals,TUN,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,TUN,"Zibrowius, H. (1980). Les scleractiniaires de la Mediterranee et de l'Atlantique nord-oriental. Memoires de l'Institut oceanographique, Monaco. URL: https://www.worldcat.org/title/scleractiniaires-de-la-mediterranee-et-de-latlantique-nord-oriental/oclc/715051958"
seagrasses,TUR,"Belluscio, A., Panayiotidis, P., Gristina, M., Knittweis, L., Pace, M.L., Telesca, L., Criscoli, A., Apostolaki, E.T., Gerakaris, V., Fraschetti, S. & Spedicato, M.T. (2013). Task 1.1. Seagrass beds distribution along the Mediterranean coasts. In: Mediterranean Sensitive Habitats (MEDISEH), final project report (Eds. Giannoulaki et al.). DG - MARE SI2.600741. Hellenic Centre for Marine Research."
seagrasses,TUR,"Cirik, S. (1991). A propos de la vegetation marine de la baie d’Akkuyu. Flora Mediterr, 1, 205-213."
saltmarshes,TUR,European Environment Agency. (2011). Corine Land Cover 2006 seamless vector data. Version 15 (08/2011). URL: http://www.eea.europa.eu/data-and-maps/data/clc-2006-vector-data-version-1
seagrasses,TUR,"Lipkin, Y., Beer, S. & Zakai, D. (2003). The Seagrasses of the Eastern Mediterranean and the Red Sea. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,TUR,"Millchakova NA. 2003. The Seagrasses of The Black, Azov, Caspian and Aral Seas. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,TUR,"Pergent, G. (1990). Lepidochronological analysis of the seagrass Posidonia oceanica (L.) Delile: a standardized approach. Aquatic botany, 37(1), 39-54."
seagrasses,TUR,"Telesca, L., Belluscio, A., Criscoli, A., Ardizzone, G., Apostolaki, E.T., Fraschetti, S., Gristina, M., Knittweis, L., Martin, C.S. et al. 2015. Seagrass meadows (Posidonia oceanica) distribution and trajectories of change. Scientific reports, 5."
seagrasses,TUR,"Vodenicharov D. 1998. Biodiversity of non-vascular plants in Bulgaria. In: Meine, C. (Ed). Bulgaria's Biological Diversity: conservation status and needs assessment. pp. 25-55."
coralreefs,TUV,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
cold-water corals,TUV,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
saltmarshes,TWN,BirdLife International & Conservation International (2013). Global Distribution of Important Bird and Biodiversity Areas (IBAs). Cambridge (UK): BirdLife International. URL: http://www.birdlife.org/datazone/site/search
cold-water corals,TWN,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
cold-water corals,TWN,"Grygier, M. J., & Cairns, S. D. (1996). Suspected neoplasms in deep-sea corals (Scleractinia: Oculinidae: Madrepora spp.) reinterpreted as galls caused by Petrarca madreporae n. sp.(Crustacea: Ascothoracida: Petrarcidae). Diseases of aquatic Organisms, 24(1), 61-69."
coralreefs,TWN,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,TWN,"Lin, M-D., Chen, C.A. & Fang, L-S. (2001). Distribution and sexual reproduction of a seagrass-bed-inhabiting Actiniarian, _Phymanthus strandesi_ (Cnidaria: Anthozoa: Actiniaria: Phymanthidae), at Hsiao-Liuchiu Island, Taiwan. Zoological Studies 40(3): 254-261."
mangroves,TWN,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
saltmarshes,TWN,"Niu Z.G., Gong P., Cheng X., Guo J.H., Wang L., et al. (2009) Geographical characteristics of China's wetlands derived from remotely sensed data. Science in China, Series D: Earth Sciences 52: 723 - 738. DOI: http://dx.doi.org/10.1007/s11430-009-0075-2"
coralreefs,TWN,"UNEP-WCMC (2009).  Coral reef polygons digitized by UNEP-WCMC  on-screen from ArcGISOnline World_Imagery (MapServer) at an approximate scale of 1: 10,000. Source: ESRI, i-cubed, USDA FSA, USGS, AEX, GeoEye, Getmapping."
seagrasses,TZA,"Bjork, M., Weil, A., Semesi, S. & Beer, S. (1997). Photosynthetic utilisation of inorganic carcbon by seagrasses from Zanzibar, East Africa. 363-366."
seagrasses,TZA,"Erftemeijer, P.L.A. 2001. [Personal communication]."
seagrasses,TZA,"Gaudian, G., Koyo, A. & Wells, S. (1995). Marine Region 12: East Africa. In: Kelleher, G., Bleakley, C., Wells, S. (Eds).  A Global  Representative System of Marine Protected Areas. Vol. 3: Cantral Indian Ocean, Arabian Seas, East Africa and East African Se"
coralreefs,TZA,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,TZA,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
seagrasses,TZA,"Kamermans, P., Hemminga, M. A., Marbà, N., Mateo, M. A., Mtolera, M., & Stapel, J. (2001). Leaf production, shoot demography, and flowering of Thalassodendron ciliatum along the east African coast. Aquatic Botany 70(3): 243-258. DOI: http://dx.doi.org/10.1016/S0304-3770(01)00156-5"
seagrasses,TZA,"Leliaert, F., Vanreusel, W., de Clerck, O. & Coppenjans, E. (2001). Epiphytes on the seagrass of Zanzibar Island (Tanzania), floristic and ecological aspects. Belgian Journal of Botany 134(1): 3-20."
coralreefs,TZA,"Muhando C. A., UNEP, Institute for Marine Sciences Zanzibar & Swedish Agency for Research Corporation (SAREC) (n.d.)."
seagrasses,TZA,"Ochieng, C. & Erftemeijer, P.L.A. (1993). The status of seagrass ecosystems in Kenya and Tanzania.  In: World Atlas of Seagrasses, Chapter: 7, Publisher: University of California Press, Berkeley, USA, Editors: EP Green, FT Short, pp.82-92"
seagrasses,TZA,"Ochieng, C. & Erftemeijer, P.L.A. (2001). The status of seagrass ecosystems in Kenya and Tanzania. Draft paper submitted to the UNEP-WCMC Global Seagrass Workshop, St Pete's Beach, Florida, 5-9 November, 2001"
seagrasses,TZA,"Ochieng, C. A. & Erftemeijer, P.L.A. (2003). The Seagrasses of Kenya and Tanzania. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,TZA,"Phillips, R. C., & Mehez, E. G. (1988). Seagrasses. Smithsonian Contributions to the Marine Science, 34, 1–110."
saltmarshes,TZA,Ramsar Secretariat. Ramsar Sites Information Service. URL: https://rsis.ramsar.org/
mangroves,TZA,"Wang, Y., Bonynge, G., Nugranad, J., Traber, M., Ngusaru, A., Tobey, J., Hale, L., Bowen, R. & Makota, V. (2003). Remote Sensing of Mangrove Change along the Tanzania Coast. Marine Geodesy, 26, 1–1"
saltmarshes,UKR,BirdLife International & Conservation International (2013). Global Distribution of Important Bird and Biodiversity Areas (IBAs). Cambridge (UK): BirdLife International. URL: http://www.birdlife.org/datazone/site/search
seagrasses,UKR,"Milchakova, N.A. 1998. Seagrasses of the Black Sea: On seagrass communities of the Black Sea (a survey). 44 pp."
seagrasses,UKR,"Milchakova, N.A. 1999. On the status of seagrass communities in the Black Sea. 21-31."
seagrasses,UKR,"Millchakova NA. 2003. The Seagrasses of The Black, Azov, Caspian and Aral Seas. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
cold-water corals,UMI,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
cold-water corals,UMI,"Etnoyer, P., & Morgan, L. (2003). Occurrences of habitat-forming deep sea corals in the Northeast Pacific Ocean. NOAA Office Habitat Protection, Silver Spring, MD."
coralreefs,UMI,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
cold-water corals,UMI,Smithsonian Inst. Records
cold-water corals,UMI,"Stocks, K. (2004). Seamount invertebrates: Composition and vulnerability to fishing. Fish. Cent. Res. Rep., 12(5), 17-24."
cold-water corals,UMI,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,URY,Cairns SD. (2000). A revision of the shallow-water Azooxanthellate Scleractinia of the western Atlantic. Studies of the Natural History of the Caribbean Region 75: 1-231.
cold-water corals,URY,"Carranza, A., Recio, A.M., Kitahara, M., Scarabino, F., Ortega, L., López, G., Franco-Fraguas, P., De Mello, C., Acosta, J., Fontan, A. & Uruguay, G.M.O.,  (2012). Deep-water coral reefs from the Uruguayan outer shelf and slope. Marine Biodiversity 42(3): 411-414. DOI: 10.1007/S12526-012-0115-6"
cold-water corals,URY,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
