"COUNTRY","ISO3","Seagrasses","Sources_Seagrasses","Saltmarshes","Sources_Saltmarshes","Mangroves","Sources_Mangroves","Warm_water_corals","Sources_Warm_water_corals","Cold_water_corals","Sources_Cold_water_corals"
"Equatorial Guinea","GNQ",2,"65",2,"90",2,"114;90;137",2,"90",2,"90"
"Greece","GRC",2,"1;90;57",2,"90",0,"115;116",2,"90",2,"90"
"Grenada","GRD",2,"90;1;44",2,"90",2,"114;90;129;132",2,"90",2,"90"
"Greenland","GRL",2,"1;90",2,"90",0,"115;116",0,"77;130",2,"147;140"
"Guatemala","GTM",2,"1;90;23",2,"90",2,"90;114;132",2,"90",2,"90"
"French Guiana","GUF",2,"61",2,"90",2,"114;90;132",1,NA,1,NA
"Guam","GUM",2,"17;48",2,"90;113",2,"114;90",2,"160;90",2,"160;90"
"Guyana","GUY",1,"61",2,"90",2,"90;114;132",2,"155;140",2,"155;140"
"Hong Kong Special Administrative Region of China, the","HKG",2,"1;90;36;37",2,"90",2,"114;90;121",1,NA,1,NA
"Heard Island and McDonald Islands","HMD",0,"1",2,"90;89",0,"114;115;116",0,"77;130",1,NA
"Honduras","HND",2,"1;90;24",2,"90",2,"114;90;132",2,"90;156;140",2,"90;156;140"
"Croatia","HRV",2,"1;90;57",2,"90",0,"115;116",2,"90",2,"90"
"Haiti","HTI",2,"1;90",2,"90",2,"90;114;132",2,"90;140;150",2,"90;140;150"
"Indonesia","IDN",2,"1;90;62",2,"90",2,"114;90;139",2,"140;90;160",2,"140;90;160"
"Isle of Man","IMN",2,"29",2,"90",0,"115;116",0,"77;130",1,NA
"India","IND",2,"1;90;68",2,"90;103;101",2,"114;90;132",2,"90",2,"90"
"Ireland","IRL",2,"90;1;69",2,"90",0,"115;116",0,"77;130",2,"159;140"
"Iran (Islamic Republic Of)","IRN",2,"1;90;63;64",2,"90",2,"114;90",2,"90",2,"90"
"Iraq","IRQ",0,"0;64",2,"90",0,"115",2,"90",2,"90"
"Iceland","ISL",2,"90;1",2,"90",0,"115;116",0,"77;130",2,"148;140"
"Israel","ISR",2,"1;90",2,"90",0,"115;116",2,"90",2,"90"
"Italy","ITA",2,"1;90;57",2,"90;91",0,"115;116",2,"90;158;140",2,"90;158;140"
"Jamaica","JAM",2,"1;90;44",2,"90",2,"114;90;132",2,"155;90;150;140",2,"155;90;150;140"
"Jersey","JEY",2,"1;90;30",2,"90",0,"115;116",0,"77;130",1,NA
"Jordan","JOR",2,"1;90",2,"90",0,"116",2,"90",2,"90"
"Japan","JPN",2,"90;1;70",2,"90;91;102",2,"114;90",2,"90;140",2,"90;140"
"Kazakhstan","KAZ",2,"1;90",2,"90",0,"115;116",0,"77;130",1,NA
"Kenya","KEN",2,"1;90;25",2,"90",2,"90;114;138",2,"90",2,"90"
"Cambodia","KHM",2,"1;90",2,"90",2,"114;90;139",2,"90",2,"90"
