"iso3","total_area_1996","total_area_2008","total_area_2009","total_area_2010baseline","total_area_2015","total_area_2016","protected_area","percent_protected","presence"
IND,3628.62178,3542.985838,3540.307762,3539.648354,3543.793714,3509.888024,3529.061288,716.7984387,20.54632943
IRN,79.48913921,78.89749719,78.67294492,78.72063344,78.80868878,77.47295301,78.05019568,76.61065472,98.26416686
JAM,101.412013,97.98929532,97.47579035,96.43090574,94.6884067,96.28306524,95.29282102,54.4928389,57.15702643
JPN,9.902598993,9.699176436,9.738418872,9.734383995,9.838164845,9.838164845,9.838164845,7.367511159,75.05601286
KEN,554.660455,533.8830401,534.9676156,534.6681752,534.1454697,528.8589122,529.3199695,84.89054256,16.04230639
KHM,633.1132825,594.166823,595.0321095,595.293562,587.8692745,579.9957602,585.597342,393.8806334,67.24342703
KNA,0.303352754,0.303352754,0.304207188,0.30164358,0.287118224,0.287118224,0.287972655,0.001163569,0.40375203
LBR,192.8517201,192.9869251,192.2046723,191.9761763,190.3267874,190.1364604,189.2266409,21.85628706,11.55079963
LCA,1.685445481,1.685445481,1.681969532,1.677624593,1.677624593,1.680230259,1.682837303,1.080170881,65.18870568
LKA,220.8019954,218.482147,218.5473962,213.1309439,200.356965,199.0211264,197.1582727,9.42420544,4.779648414
MAF,0.169341258,0.169341258,0.169341258,0.167639309,0.137004459,0.138706436,0.147216368,0.153465992,98.23450417
MDG,2620.722479,2591.820688,2601.334216,2602.992229,2595.646616,2564.836865,2585.719902,465.2306518,17.99650649
MEX,10521.06992,10182.10875,10282.88675,10168.85019,9491.064763,9847.047247,9665.273771,7276.027005,75.31288226
MMR,5384.756488,5005.083873,5075.828558,5072.643427,4983.450033,4917.603829,4953.451744,150.5361144,3.039263224
MOZ,3194.429549,3004.307352,3014.911189,3005.814609,2995.458343,2996.76503,2985.662606,1639.504635,54.91519902
MTQ,16.83657731,16.83657731,16.85995732,16.86342162,16.89546663,16.94570069,16.91799271,16.76742224,99.05707219
MUS,7.242016047,6.99678699,7.017777285,7.071520001,7.031218342,7.007707742,7.112691331,0.644937754,9.066552098
MYS,5218.276497,5105.740181,5118.261909,5124.431412,5167.868799,5093.177036,5098.09077,728.6066381,14.30821053
MYT,5.874429146,5.874429146,5.878791491,5.863084335,5.860466442,5.853493866,5.853493866,5.61735637,96.18288535
NCL,302.282573,302.282573,301.6445763,300.6642504,294.6939199,294.6939199,294.6939199,91.70365329,31.11812029
NGA,6987.992316,6964.57014,6967.096897,6964.094121,6925.285311,6894.995779,6894.170567,370.3984712,5.382615079
NIC,774.4314156,772.3877826,771.9114196,768.8309665,743.6792022,738.4130899,732.8161774,576.3737099,78.80424042
NZL,325.4227729,312.9615926,313.9239814,313.0973543,305.8326398,310.3319115,310.3319115,23.49122757,7.570177497
OMN,1.21298571,1.208790357,1.1934444,1.189165922,1.140391407,1.155906681,1.139533859,0.536672927,46.66972971
PAK,676.6220763,638.9996034,639.3450609,640.3215078,649.7601854,635.9308401,641.5719399,230.745527,35.97067817
PAN,1551.6108,1532.208059,1533.278108,1534.290929,1534.941298,1516.076001,1520.848693,631.0232889,41.49416528
PER,36.05839229,34.15927108,33.79342405,33.70686987,33.18058064,33.13934229,32.91696362,15.889112,39.5248153
PHL,2819.713612,2709.445329,2697.855313,2687.778299,2635.558191,2681.097598,2675.271372,1061.921329,39.70460212
PLW,61.48784263,61.48784263,61.42400232,61.38154615,61.45871927,61.48089363,61.49237775,50.81941775,82.76249981
PNG,4727.460648,4694.585854,4694.843071,4697.791908,4719.406512,4662.557132,4668.637819,209.5478779,4.48820467
PRI,92.07139927,92.07139927,91.89454617,91.55623037,88.81220711,88.31228103,87.99986491,44.44591218,50.47818993
QAT,4.467440928,4.452933989,4.455298926,4.412534726,4.406880938,4.49646666,4.449738915,3.982365482,89.98975834
SAU,69.24753096,64.44555485,67.21965971,67.6799317,67.9189165,63.80573394,63.75991937,7.501690421,11.556562
SDN,3.722607546,3.661392264,3.654575613,3.654575613,3.652887716,3.643551133,3.690927784,0.116712857,3.146826497
SEN,1300.169907,1284.472584,1285.179025,1285.203827,1284.031115,1265.003548,1247.84211,728.0841082,58.41835049
SGP,5.356055465,5.236299553,5.246130351,5.279197766,5.425767012,5.247024078,5.220212623,0.470087676,9.061448859
SLB,535.5274325,527.5518129,527.3353726,526.6667979,523.8554567,528.1685772,527.6118058,54.7169844,10.36949694
SLE,1268.558092,1264.794688,1267.76268,1268.225605,1268.530045,1262.923926,1264.028577,0,0
SLV,383.4478779,380.6489753,378.4821249,377.4410299,373.5999929,374.8106992,372.085361,288.1755505,76.7875904
SOM,21.87217028,21.10232351,21.19642446,21.24488842,20.7459222,20.92476846,21.11707016,0,0
SUR,730.8586894,758.3205147,760.0497565,758.6423842,774.335401,759.9543047,759.5541599,528.7241177,69.27814459
SYC,1.085384034,1.085384034,1.085384034,1.06845516,1.06845516,1.087172875,1.124594934,0.401947285,36.05300986
TCA,128.2958754,125.0871069,125.5112382,125.3083873,121.6653165,121.4299874,117.954353,92.17596712,78.22230884
THA,2364.418336,2222.080503,2243.58389,2246.372617,2243.153392,2126.33401,2246.865499,154.7304211,6.886172782
TLS,9.6537916,9.390770585,9.347437171,9.330634663,9.276687513,9.270498741,9.32885306,5.516893523,56.185731
TON,8.896678319,8.896678319,8.889184643,8.871641901,8.696175365,8.70471133,8.626923534,1.882274431,21.75779306
TTO,57.19805979,54.36268433,54.52089237,54.55605881,54.86997841,52.4862726,52.74110963,17.60154484,33.35698348
TWN,2.001905139,1.710263308,1.701272179,1.738987972,1.715467487,1.715467487,1.715467487,1.296614919,76.57064465
TZA,1143.881324,1126.093499,1127.898121,1126.109607,1124.095138,1119.081796,1114.219723,938.7214245,84.23999242
USA,2089.386211,1985.296726,1991.66948,1989.068611,1930.868805,1886.819086,1881.572669,1692.52457,90.06578506
VCT,0.331451739,0.331451739,0.327091615,0.324474527,0.324474527,0.324474527,0.324474527,0.509244834,45.86732622
VEN,2854.537186,2821.742967,2829.184807,2828.650872,2838.254764,2787.622983,2796.058547,1883.40349,67.28569839
VGB,0.877146489,0.877146489,0.877146489,0.877146489,0.877146489,0.877146489,0.872059248,0,0
VIR,2.074101686,2.074101686,2.063865739,2.072393111,2.069851254,2.063031877,2.056205529,1.318696775,64.33753668
VNM,1706.710452,1610.42739,1617.01907,1612.506881,1588.045671,1567.107721,1578.491955,114.4812376,7.243731453
VUT,17.74937245,17.74937245,17.74510226,17.74510226,17.74424431,17.73482027,17.69021562,0,0
WSM,3.044429096,3.044429096,3.044429096,3.052243244,3.052243244,3.052243244,3.052243244,0.594677566,19.5609449
YEM,17.33531326,17.46530336,17.52557428,17.57200149,17.48149587,17.17333678,17.47815998,2.417552439,14.86552267
ZAF,26.50743777,25.13947328,25.495438,25.9703478,26.32360292,25.78800688,24.96845147,8.61156014,34.55389397
