country,iso3,species,species_id,source_id
Indonesia,IDN,Kandelia candel,36,1
Indonesia,IDN,Lumnitzera littorea,38,1
Indonesia,IDN,Lumnitzera racemosa,39,1
Indonesia,IDN,Nypa fruticans,41,1
Indonesia,IDN,Osbornia octodonta,42,1
Indonesia,IDN,Pemphis acidula,43,1
Indonesia,IDN,Rhizophora apiculata,44,1
Indonesia,IDN,Rhizophora mucronata,45,1
Indonesia,IDN,Rhizophora stylosa,47,1
Indonesia,IDN,Rhizophora lamarckii,48,1
Indonesia,IDN,Scyphiphora hydrophyllacea,51,1
Indonesia,IDN,Sonneratia alba,52,1
Indonesia,IDN,Sonneratia caseolaris,54,1
Indonesia,IDN,Sonneratia caseolaris,56,1
Indonesia,IDN,Sonneratia ovata,57,1
Indonesia,IDN,Sonneratia gulngai,58,1
Indonesia,IDN,Sonneratia urama,60,1
Indonesia,IDN,Xylocarpus granatum,61,1
Indonesia,IDN,Xylocarpus moluccensis,62,1
India,IND,Acanthus ebracteatus,1,1
India,IND,Acanthus ilicifolius,2,1
India,IND,Acrostichum aureum,3,1
India,IND,Acrostichum speciosum,5,1
India,IND,Aegialitis rotundifolia,7,1
India,IND,Aegiceras corniculatum,8,1
India,IND,Aglaia cucullata,10,1
India,IND,Avicennia alba,11,1
India,IND,Avicennia marina,13,1
India,IND,Avicennia officinalis,14,1
India,IND,Bruguiera cylindrica,16,1
India,IND,Bruguiera gymnorrhiza,18,1
India,IND,Bruguiera parviflora,20,1
India,IND,Bruguiera sexangula,21,1
India,IND,Ceriops decandra,26,1
India,IND,Ceriops tagal,27,1
India,IND,Cynometra iripa,28,1
India,IND,Dolichandrone spathacea,30,1
India,IND,Excoecaria agallocha,31,1
India,IND,Heritiera fomes,33,1
India,IND,Heritiera littoralis,35,1
India,IND,Kandelia candel,36,1
India,IND,Lumnitzera littorea,38,1
India,IND,Lumnitzera racemosa,39,1
India,IND,Nypa fruticans,41,1
India,IND,Pemphis acidula,43,1
India,IND,Rhizophora apiculata,44,1
India,IND,Rhizophora mucronata,45,1
India,IND,Rhizophora stylosa,47,1
India,IND,Rhizophora lamarckii,48,1
India,IND,Scyphiphora hydrophyllacea,51,1
India,IND,Sonneratia alba,52,1
India,IND,Sonneratia apetala,53,1
India,IND,Sonneratia caseolaris,54,1
India,IND,Sonneratia griffithii,55,1
India,IND,Xylocarpus granatum,61,1
India,IND,Xylocarpus moluccensis,62,1
British Indian Ocean Territory,IOT,Lumnitzera racemosa,39,1
British Indian Ocean Territory,IOT,Pemphis acidula,43,1
Iran (Islamic Republic Of),IRN,Avicennia marina,13,1
Iran (Islamic Republic Of),IRN,Rhizophora mucronata,45,1
Jamaica,JAM,Acrostichum aureum,3,1
Jamaica,JAM,Avicennia germinans,64,1
Jamaica,JAM,Conocarpus erectus,66,1
Jamaica,JAM,Laguncularia racemosa,67,1
Jamaica,JAM,Rhizophora mangle,70,1
Japan,JPN,Acrostichum aureum,3,1
Japan,JPN,Avicennia marina,13,1
Japan,JPN,Bruguiera gymnorrhiza,18,1
Japan,JPN,Excoecaria agallocha,31,1
Japan,JPN,Heritiera littoralis,35,1
Japan,JPN,Kandelia obovata,37,1
Japan,JPN,Lumnitzera racemosa,39,1
Japan,JPN,Nypa fruticans,41,1
Japan,JPN,Pemphis acidula,43,1
Japan,JPN,Rhizophora stylosa,47,1
Japan,JPN,Sonneratia alba,52,1
Kenya,KEN,Avicennia marina,13,1
Kenya,KEN,Bruguiera gymnorrhiza,18,1
Kenya,KEN,Ceriops tagal,27,1
Kenya,KEN,Heritiera littoralis,35,1
Kenya,KEN,Lumnitzera racemosa,39,1
Kenya,KEN,Rhizophora mucronata,45,1
Kenya,KEN,Sonneratia alba,52,1
Kenya,KEN,Xylocarpus granatum,61,1
Cambodia,KHM,Acanthus ebracteatus,1,1
Cambodia,KHM,Acanthus ilicifolius,2,1
Cambodia,KHM,Acrostichum aureum,3,1
Cambodia,KHM,Aegiceras corniculatum,8,1
Cambodia,KHM,Avicennia alba,11,1
Cambodia,KHM,Bruguiera gymnorrhiza,18,1
Cambodia,KHM,Bruguiera sexangula,21,1
Cambodia,KHM,Ceriops decandra,26,1
Cambodia,KHM,Ceriops tagal,27,1
Cambodia,KHM,Excoecaria agallocha,31,1
Cambodia,KHM,Heritiera littoralis,35,1
Cambodia,KHM,Lumnitzera littorea,38,1
Cambodia,KHM,Lumnitzera racemosa,39,1
Cambodia,KHM,Nypa fruticans,41,1
Cambodia,KHM,Pemphis acidula,43,1
Cambodia,KHM,Rhizophora apiculata,44,1
Cambodia,KHM,Rhizophora mucronata,45,1
Cambodia,KHM,Scyphiphora hydrophyllacea,51,1
Cambodia,KHM,Sonneratia alba,52,1
Cambodia,KHM,Sonneratia caseolaris,54,1
Cambodia,KHM,Sonneratia caseolaris,56,1
Cambodia,KHM,Xylocarpus granatum,61,1
Kiribati,KIR,Bruguiera gymnorrhiza,18,1
Kiribati,KIR,Lumnitzera littorea,38,1
Kiribati,KIR,Rhizophora mucronata,45,1
Kiribati,KIR,Sonneratia alba,52,1
Saint Kitts and Nevis,KNA,Acrostichum aureum,3,1
Saint Kitts and Nevis,KNA,Avicennia germinans,64,1
Saint Kitts and Nevis,KNA,Avicennia schaueriana,65,1
Saint Kitts and Nevis,KNA,Conocarpus erectus,66,1
Saint Kitts and Nevis,KNA,Laguncularia racemosa,67,1
Saint Kitts and Nevis,KNA,Rhizophora mangle,70,1
Liberia,LBR,Acrostichum aureum,3,1
Liberia,LBR,Avicennia germinans,64,1
Liberia,LBR,Conocarpus erectus,66,1
Liberia,LBR,Rhizophora mangle,70,1
Liberia,LBR,Rhizophora racemosa,71,1
Liberia,LBR,Rhizophora harrisonii,72,1
Saint Lucia,LCA,Acrostichum aureum,3,1
Saint Lucia,LCA,Avicennia germinans,64,1
Saint Lucia,LCA,Avicennia schaueriana,65,1
Saint Lucia,LCA,Conocarpus erectus,66,1
Saint Lucia,LCA,Laguncularia racemosa,67,1
Saint Lucia,LCA,Rhizophora mangle,70,1
Sri Lanka,LKA,Acanthus ilicifolius,2,1
Sri Lanka,LKA,Acrostichum aureum,3,1
Sri Lanka,LKA,Aegiceras corniculatum,8,1
Sri Lanka,LKA,Avicennia marina,13,1
Sri Lanka,LKA,Avicennia officinalis,14,1
Sri Lanka,LKA,Bruguiera cylindrica,16,1
Sri Lanka,LKA,Bruguiera gymnorrhiza,18,1
Sri Lanka,LKA,Bruguiera sexangula,21,1
Sri Lanka,LKA,Ceriops tagal,27,1
Sri Lanka,LKA,Cynometra iripa,28,1
Sri Lanka,LKA,Dolichandrone spathacea,30,1
Sri Lanka,LKA,Excoecaria agallocha,31,1
Sri Lanka,LKA,Excoecaria indica,32,1
Sri Lanka,LKA,Heritiera littoralis,35,1
Sri Lanka,LKA,Lumnitzera littorea,38,1
Sri Lanka,LKA,Lumnitzera racemosa,39,1
Sri Lanka,LKA,Nypa fruticans,41,1
Sri Lanka,LKA,Pemphis acidula,43,1
Sri Lanka,LKA,Rhizophora apiculata,44,1
Sri Lanka,LKA,Rhizophora mucronata,45,1
Sri Lanka,LKA,Scyphiphora hydrophyllacea,51,1
Sri Lanka,LKA,Sonneratia alba,52,1
Sri Lanka,LKA,Sonneratia caseolaris,54,1
Sri Lanka,LKA,Xylocarpus granatum,61,1
Saint Martin,MAF,Acrostichum aureum,3,1
Saint Martin,MAF,Avicennia germinans,64,1
Saint Martin,MAF,Avicennia schaueriana,65,1
Saint Martin,MAF,Conocarpus erectus,66,1
Saint Martin,MAF,Laguncularia racemosa,67,1
Saint Martin,MAF,Rhizophora mangle,70,1
Madagascar,MDG,Avicennia marina,13,1
Madagascar,MDG,Bruguiera gymnorrhiza,18,1
Madagascar,MDG,Ceriops tagal,27,1
Madagascar,MDG,Heritiera littoralis,35,1
Madagascar,MDG,Lumnitzera racemosa,39,1
Madagascar,MDG,Rhizophora mucronata,45,1
Madagascar,MDG,Sonneratia alba,52,1
Madagascar,MDG,Xylocarpus granatum,61,1
Maldives,MDV,Acrostichum aureum,3,1
Maldives,MDV,Avicennia marina,13,1
Maldives,MDV,Bruguiera cylindrica,16,1
Maldives,MDV,Bruguiera gymnorrhiza,18,1
Maldives,MDV,Ceriops tagal,27,1
Maldives,MDV,Excoecaria agallocha,31,1
Maldives,MDV,Lumnitzera racemosa,39,1
Maldives,MDV,Pemphis acidula,43,1
