"region","scientific_name","common_name","redlist_status","habitat","url"
"Pacific","Acropora clathrata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20clathrata"
"Red Sea and Gulf of Aden","Acropora clathrata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20clathrata"
"South Asian Seas","Acropora clathrata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20clathrata"
"North-West Pacific","Acropora clathrata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20clathrata"
"ROPME Area","Acropora clathrata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20clathrata"
"East Asian Seas","Acropora clathrata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20clathrata"
"Eastern Africa","Acropora clathrata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20clathrata"
"East Asian Seas","Acropora convexa","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20convexa"
"South Asian Seas","Acropora cophodactyla","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cophodactyla"
"North-West Pacific","Acropora cophodactyla","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cophodactyla"
"East Asian Seas","Acropora cophodactyla","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cophodactyla"
"Pacific","Acropora cophodactyla","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cophodactyla"
"Eastern Africa","Acropora copiosa","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20copiosa"
"East Asian Seas","Acropora copiosa","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20copiosa"
"Pacific","Acropora copiosa","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20copiosa"
"North-West Pacific","Acropora copiosa","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20copiosa"
"South Asian Seas","Acropora cytherea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cytherea"
"Red Sea and Gulf of Aden","Acropora cytherea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cytherea"
"Pacific","Acropora cytherea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cytherea"
"North-West Pacific","Acropora cytherea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cytherea"
"Eastern Africa","Acropora cytherea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cytherea"
"East Asian Seas","Acropora cytherea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cytherea"
"South Asian Seas","Acropora dendrum","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20dendrum"
"Pacific","Acropora dendrum","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20dendrum"
"East Asian Seas","Acropora dendrum","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20dendrum"
"North-West Pacific","Acropora dendrum","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20dendrum"
"East Asian Seas","Acropora derawanensis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20derawanensis"
"Pacific","Acropora derawanensis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20derawanensis"
